condition,pipeline,num_samples,precision,recall,f1,map50,map50_95
Clear,Baseline,45,0.8261,0.2744,0.4119,0.2267,0.1352
Rain,Baseline,44,0.7329,0.2512,0.3742,0.1841,0.0951
Fog,Baseline,2,0.8571,0.2857,0.4286,0.2449,0.1308
Night,Baseline,45,0.7333,0.2107,0.3273,0.1545,0.0785
Dawn/Dusk,Baseline,44,0.8323,0.2857,0.4254,0.2378,0.14
Overall,Baseline,180,0.7866,0.2579,0.3885,0.2029,0.113
Clear,Fixed,45,0.8121,0.2756,0.4115,0.2238,0.1336
Rain,Fixed,44,0.7082,0.2463,0.3655,0.1744,0.0924
Fog,Fixed,2,0.8,0.2857,0.4211,0.2286,0.1184
Night,Fixed,45,0.7452,0.212,0.3301,0.158,0.0783
Dawn/Dusk,Fixed,44,0.8395,0.3012,0.4434,0.2529,0.1452
Overall,Fixed,180,0.7811,0.2615,0.3919,0.2043,0.1131
Clear,Adaptive,45,0.8285,0.2732,0.4109,0.2263,0.1356
Rain,Adaptive,44,0.7368,0.2426,0.365,0.1787,0.0977
Fog,Adaptive,2,0.8571,0.2857,0.4286,0.2449,0.1391
Night,Adaptive,45,0.7241,0.2011,0.3148,0.1456,0.0674
Dawn/Dusk,Adaptive,44,0.8354,0.2979,0.4392,0.2489,0.1434
Overall,Adaptive,180,0.7887,0.2567,0.3873,0.2025,0.1121
Clear,Oracle,45,0.8261,0.2744,0.4119,0.2267,0.1352
Rain,Oracle,44,0.7059,0.2376,0.3556,0.1677,0.0909
Fog,Oracle,2,0.6667,0.2857,0.4,0.1905,0.0985
Night,Oracle,45,0.719,0.2066,0.3209,0.1485,0.0687
Dawn/Dusk,Oracle,44,0.8415,0.3056,0.4484,0.2572,0.1456
Overall,Oracle,180,0.7781,0.2591,0.3888,0.2016,0.1105
